Store Name	Address	Instagram	Pinterest	Website 1	Website 2	Etsy
Brooklyn Industries	801 Broadway NY 10003			http://www.brooklynindustries.com/index.cfm		
Grit N Glory	186 Orchard St NY 10002			http://www.gritnglory.com/		
If Boutique	94 Grand St NY 10013	https://instagram.com/ifsohonewyork/				
Joe Fresh	110 Fifth Ave NY 10011			https://www.joefresh.com/us/		
4 Play Brooklyn	360 7th Ave Brooklyn 11215	https://instagram.com/4playbk/				
HeadHoods	86 Berry St Brooklyn, NY 11211	https://instagram.com/headhoods/				
Joe Fresh	510 Fifth Avenue NY 10036			https://www.joefresh.com/us		
H&M	1328 Broadway NY 10001			http://hm.com		
Macy's	151 West 34th Street NY 10001			http://macys.com		
The Brooklyn Circus	150 Nevins St Brooklyn NY 11217	https://instagram.com/thebkcircus/		http://thebkcircus.com/		
Pinkyotto	307 E 9th St NY 10003	https://instagram.com/Pinkyotto		http://www.pinkyotto.com/		
Necessary Clothing	442 Broadway NY 10013	https://instagram.com/necessaryclothing/		http://www.necessaryclothing.com/		
Urban Outfitters	374 Ave of the Americas NY 10011			http://urbanoutfitters.com		
miguel Antoinne	39 Wooster St NY 10013	https://instagram.com/miguelantoinne/		http://www.miguelantoinne.com/		
Maison Martin Margiela	803 Greenwich St NY 10014	https://instagram.com/maisonmargiela/		http://www.maisonmargiela.com/		
Kamakura Shirts	400 Madison Ave NY 10017			http://www.kamakurashirts.com/		
Fresthetic	552 Grand St Brooklyn NY 11211			http://fresthetic.com/		
J. Crew	347 Madison Ave NY 10017			http://jcrew.com		
H&M	497-501 Fulton St Brooklyn NY 11201			http://hm.com		
Brooklyn Industries	161 8th Ave NY 10011			http://www.brooklynindustries.com/		
Banana Republic	2373 Broadway NY 10024			http://bananarepublic.gap.com/customerService/store.do?storeid=5104		
Brooklyn Industries	70 Front St Brooklyn NY 11201			http://www.brooklynindustries.com/		
Shop Untitled NYC	27 W 8th St NY 10011	https://instagram.com/shopuntitled/		http://www.shopuntitled.com/search/browse?page=3		
Lola's Boutique	8503 3rd Ave Brooklyn NY 11209	https://instagram.com/lolasboutique/		http://lolasboutiquenyc.com/		
Aritzia	524 Broadway NY 10012	https://instagram.com/aritzia/		http://us.aritzia.com/default		
Forever21	568 Broadway NY 10012			http://forever21.com		
Opening Ceremony	35 Howard St NY 10013	https://instagram.com/openingceremony/		http://www.openingceremony.us/		
Madewell	115 5th Ave NY 10003			http://madewell.com		
Atrium	644 Broadway NY 10012	https://instagram.com/atriumnyc/		http://www.atriumnyc.com/		
Blue In Green	8 Greene St NY 10013	https://instagram.com/blueingreensoho/		http://blueingreensoho.com/site/index.php?&vmcchk=1		
Byme Brooklyn	802 Avenue U Brooklyn NY, 11223	https://instagram.com/dorldorbrooklyn/		http://www.dorldornyc.com/		
Zara	580 Broadway NY 10012	https://instagram.com/zara_worldwide		http://www.zara.com/us/		
Surface to Air	27 Mercer St NY 10012	https://instagram.com/surface_to_air/		http://www.surfacetoair.com/store-us/		
Legacy	109 Thompson Street NY 10012			http://www.legacy-nyc.com/legacyfront.html		
Project No. 8	38 Orchard St NY 10002	https://instagram.com/projectno8/		http://projectno8.com/		
La Di Da Dee	160 Havemeyer St Brooklyn NY 11211	https://instagram.com/ladidadee/		http://www.shoptiques.com/boutiques/la-di-da-dee?utm_campaign=Boutique+Ref+la-di-da-dee&utm_source=boutiqueref&utm_medium=boutiqueref		
Min-k	219 Mott St NY 10012			http://minknyc.blogspot.com/		
Trash & Vaudeville	4 St Marks Pl NY 10003	https://instagram.com/trashandvaudeville/?ref=badge		http://www.trashandvaudeville.com/		
Zara	101 5th Ave NY 10003	https://instagram.com/zara_worldwide		http://www.zara.com/us/		
Ad Hoc	135 Wythe Ave Brooklyn NY 11211	https://instagram.com/adhocnyc/		http://adhocnyc.com/		
Anthropologie	85 5th Ave New York 10003			http://anthropologie.com		
A Uno Tribeca	123 W Broadway NY 10013	https://instagram.com/aunotribeca/		http://www.aunotribeca.com/		
